Date,Gasoline,Diesel
01/02/2012,3.358,3.783
01/09/2012,3.441,3.828
01/16/2012,3.451,3.854
01/23/2012,3.45,3.848
01/30/2012,3.5,3.85
02/06/2012,3.542,3.856
02/13/2012,3.584,3.943
02/20/2012,3.652,3.96
02/27/2012,3.78,4.051
03/05/2012,3.849,4.094
03/12/2012,3.884,4.123
03/19/2012,3.923,4.142
03/26/2012,3.973,4.147
04/02/2012,3.996,4.142
04/09/2012,3.997,4.148
04/16/2012,3.98,4.127
04/23/2012,3.929,4.085
04/30/2012,3.889,4.073
05/07/2012,3.849,4.057
05/14/2012,3.814,4.004
05/21/2012,3.773,3.956
05/28/2012,3.728,3.897
06/04/2012,3.671,3.846
06/11/2012,3.629,3.781
06/18/2012,3.589,3.729
06/25/2012,3.494,3.678
07/02/2012,3.415,3.648
07/09/2012,3.469,3.683
07/16/2012,3.485,3.695
07/23/2012,3.554,3.783
07/30/2012,3.568,3.796
08/06/2012,3.702,3.85
08/13/2012,3.779,3.965
08/20/2012,3.803,4.026
08/27/2012,3.837,4.089
09/03/2012,3.903,4.127
09/10/2012,3.907,4.132
09/17/2012,3.939,4.135
09/24/2012,3.889,4.086
10/01/2012,3.866,4.079
10/08/2012,3.914,4.094
10/15/2012,3.886,4.15
10/22/2012,3.756,4.116
10/29/2012,3.638,4.03
11/05/2012,3.563,4.01
11/12/2012,3.518,3.98
11/19/2012,3.497,3.976
11/26/2012,3.505,4.034
12/03/2012,3.463,4.027
12/10/2012,3.419,3.991
12/17/2012,3.324,3.945
12/24/2012,3.328,3.923
12/31/2012,3.369,3.918
01/07/2013,3.373,3.911
01/14/2013,3.377,3.894
01/21/2013,3.386,3.902
01/28/2013,3.427,3.927
02/04/2013,3.604,4.022
02/11/2013,3.677,4.104
02/18/2013,3.812,4.157
02/25/2013,3.851,4.159
03/04/2013,3.826,4.13
03/11/2013,3.779,4.088
03/18/2013,3.764,4.047
03/25/2013,3.746,4.006
04/01/2013,3.714,3.993
04/08/2013,3.676,3.977
04/15/2013,3.611,3.942
04/22/2013,3.603,3.887
04/29/2013,3.587,3.851
05/06/2013,3.602,3.845
05/13/2013,3.665,3.866
05/20/2013,3.729,3.89
05/27/2013,3.704,3.88
06/03/2013,3.705,3.869
06/10/2013,3.715,3.849
06/17/2013,3.689,3.841
06/24/2013,3.645,3.838
07/01/2013,3.567,3.817
07/08/2013,3.563,3.828
07/15/2013,3.706,3.867
07/22/2013,3.751,3.903
07/29/2013,3.716,3.915
08/05/2013,3.701,3.909
08/12/2013,3.633,3.896
08/19/2013,3.622,3.9
08/26/2013,3.623,3.913
09/02/2013,3.678,3.981
09/09/2013,3.658,3.981
09/16/2013,3.619,3.974
09/23/2013,3.567,3.949
09/30/2013,3.499,3.919
10/07/2013,3.441,3.897
10/14/2013,3.43,3.886
10/21/2013,3.435,3.886
10/28/2013,3.372,3.87
11/04/2013,3.343,3.857
11/11/2013,3.274,3.832
11/18/2013,3.298,3.822
11/25/2013,3.372,3.844
12/02/2013,3.353,3.883
12/09/2013,3.35,3.879
12/16/2013,3.321,3.871
12/23/2013,3.351,3.873
12/30/2013,3.409,3.903
01/06/2014,3.411,3.91
01/13/2014,3.406,3.886
01/20/2014,3.376,3.873
01/27/2014,3.375,3.904
02/03/2014,3.372,3.951
02/10/2014,3.388,3.977
02/17/2014,3.457,3.989
02/24/2014,3.52,4.017
03/03/2014,3.553,4.016
03/10/2014,3.584,4.021
03/17/2014,3.619,4.003
03/24/2014,3.622,3.988
03/31/2014,3.651,3.975
04/07/2014,3.67,3.959
04/14/2014,3.725,3.952
04/21/2014,3.758,3.971
04/28/2014,3.788,3.975
05/05/2014,3.761,3.964
05/12/2014,3.746,3.948
05/19/2014,3.743,3.934
05/26/2014,3.75,3.925
06/02/2014,3.765,3.918
06/09/2014,3.749,3.892
06/16/2014,3.76,3.882
06/23/2014,3.778,3.919
06/30/2014,3.778,3.92
07/07/2014,3.753,3.913
07/14/2014,3.712,3.894
07/21/2014,3.671,3.869
07/28/2014,3.617,3.858
08/04/2014,3.595,3.853
08/11/2014,3.582,3.843
08/18/2014,3.549,3.835
08/25/2014,3.532,3.821
09/01/2014,3.536,3.814
09/08/2014,3.534,3.814
09/15/2014,3.485,3.801
09/22/2014,3.432,3.778
09/29/2014,3.434,3.755
10/06/2014,3.382,3.733
10/13/2014,3.292,3.698
10/20/2014,3.205,3.656
10/27/2014,3.139,3.635
11/03/2014,3.077,3.623
11/10/2014,3.025,3.677
11/17/2014,2.978,3.661
11/24/2014,2.907,3.628
12/01/2014,2.864,3.605
12/08/2014,2.767,3.535
12/15/2014,2.643,3.419
12/22/2014,2.496,3.281
12/29/2014,2.392,3.213
01/05/2015,2.308,3.137
01/12/2015,2.232,3.053
01/19/2015,2.157,2.933
01/26/2015,2.133,2.866
02/02/2015,2.154,2.831
02/09/2015,2.276,2.835
02/16/2015,2.358,2.865
