Entity,Code,Year,OilConsumption,CountryCode
Africa,,1965,341.2627563,
Africa,,1966,369.4865723,
Africa,,1967,368.1252441,
Africa,,1968,389.1998596,
Africa,,1969,396.9228516,
Africa,,1970,433.7723083,
Africa,,1971,473.5654297,
Africa,,1972,510.6726379,
Africa,,1973,549.7197876,
Africa,,1974,567.7996826,
Africa,,1975,596.4046631,
Africa,,1976,652.5804443,
Africa,,1977,695.1663208,
Africa,,1978,732.1810303,
Africa,,1979,770.9386597,
Africa,,1980,817.2388916,
Africa,,1981,883.8618774,
Africa,,1982,925.2272339,
Africa,,1983,964.5521851,
Africa,,1984,981.7520752,
Africa,,1985,1007.091858,
Africa,,1986,988.5931396,
Africa,,1987,1042.068604,
Africa,,1988,1086.268188,
Africa,,1989,1123.926514,
Africa,,1990,1142.402832,
Africa,,1991,1148.7052,
Africa,,1992,1170.524658,
Africa,,1993,1180.07666,
Africa,,1994,1221.884644,
Africa,,1995,1266.781738,
Africa,,1996,1293.971191,
Africa,,1997,1332.273071,
Africa,,1998,1363.508667,
Africa,,1999,1414.560181,
Africa,,2000,1420.386475,
Africa,,2001,1432.664307,
Africa,,2002,1479.166504,
Africa,,2003,1524.815063,
Africa,,2004,1586.510742,
Africa,,2005,1654.919189,
Africa,,2006,1673.716797,
Africa,,2007,1734.740723,
Africa,,2008,1824.850952,
Africa,,2009,1885.976318,
Africa,,2010,1966.2146,
Africa,,2011,1934.170898,
Africa,,2012,2046.829956,
Africa,,2013,2121.441406,
Africa,,2014,2143.333496,
Africa,,2015,2199.14502,
Africa,,2016,2210.926025,
Africa,,2017,2233.089844,
Africa,,2018,2257.501953,
Africa,,2019,2262.036133,
Africa,,2020,2011.052612,
Africa,,2021,2183.541992,
Africa (BP),,1965,341.2627563,
Africa (BP),,1966,369.4865723,
Africa (BP),,1967,368.1252441,
Africa (BP),,1968,389.1998596,
Africa (BP),,1969,396.9228821,
Africa (BP),,1970,433.7723083,
Africa (BP),,1971,473.5654297,
Africa (BP),,1972,510.6726379,
Africa (BP),,1973,549.7197876,
Africa (BP),,1974,567.7996826,
Africa (BP),,1975,596.4046631,
Africa (BP),,1976,652.5805054,
Africa (BP),,1977,695.1663208,
Africa (BP),,1978,732.1810303,
Africa (BP),,1979,770.9386597,
Africa (BP),,1980,817.2388916,
