Entity,Code,year,production,last_year_production,ranking
Albania,ALB,1933,0.023259999,0,29
Albania,ALB,1934,0.023259999,0.023259999,30
Albania,ALB,1935,0.06978,0.023259999,30
Albania,ALB,1936,0.476830006,0.06978,26
Albania,ALB,1937,1.093219995,0.476830006,25
Albania,ALB,1938,1.325819969,1.093219995,25
Albania,ALB,1939,1.639829993,1.325819969,27
Albania,ALB,1940,2.62838006,1.639829993,26
Albania,ALB,1941,2.349260092,2.62838006,26
Albania,ALB,1942,2.814460039,2.349260092,25
Albania,ALB,1943,1.75612998,2.814460039,25
Albania,ALB,1944,0.581499994,1.75612998,28
Albania,ALB,1945,0.465200007,0.581499994,28
Albania,ALB,1946,1.75612998,0.465200007,24
Albania,ALB,1947,3.51225996,1.75612998,22
Albania,ALB,1948,2.640010118,3.51225996,24
Albania,ALB,1949,3.849529982,2.640010118,23
Albania,ALB,1950,1.535159945,3.849529982,29
Albania,ALB,1951,1.418859959,1.535159945,31
Albania,ALB,1952,1.732869983,1.418859959,31
Albania,ALB,1953,1.744500041,1.732869983,32
Albania,ALB,1954,2.035249949,1.744500041,34
Albania,ALB,1955,2.419039965,2.035249949,34
Albania,ALB,1956,3.093580008,2.419039965,35
Albania,ALB,1957,5.698699951,3.093580008,28
Albania,ALB,1958,4.686890125,5.698699951,35
Albania,ALB,1959,5.570769787,4.686890125,33
Albania,ALB,1960,8.466640472,5.570769787,32
Albania,ALB,1961,8.966730118,8.466640472,33
Albania,ALB,1962,9.12954998,8.966730118,35
Albania,ALB,1963,8.734129906,9.12954998,37
Albania,ALB,1964,8.88531971,8.734129906,37
Albania,ALB,1965,9.559860229,8.88531971,36
Albania,ALB,1966,10.30418015,9.559860229,36
Albania,ALB,1967,11.44392014,10.30418015,41
Albania,ALB,1968,13.1884203,11.44392014,41
Albania,ALB,1969,15.20040989,13.1884203,43
Albania,ALB,1970,17.29380989,15.20040989,41
Albania,ALB,1971,19.27091026,17.29380989,42
Albania,ALB,1972,25.00449944,19.27091026,40
Albania,ALB,1973,24.50440979,25.00449944,41
Albania,ALB,1974,20.58510017,24.50440979,43
Albania,ALB,1975,21.16659927,20.58510017,43
Albania,ALB,1976,22.09700012,21.16659927,43
Albania,ALB,1977,22.67849922,22.09700012,41
Albania,ALB,1978,24.42300034,22.67849922,42
Albania,ALB,1979,24.42300034,24.42300034,42
Albania,ALB,1980,29.78357124,24.42300034,42
Albania,ALB,1981,29.70219612,29.78357124,44
Albania,ALB,1982,43.20319366,29.70219612,41
Albania,ALB,1983,50.62874222,43.20319366,41
Albania,ALB,1984,37.22946548,50.62874222,42
Albania,ALB,1985,37.12774277,37.22946548,47
Albania,ALB,1986,37.12774277,37.12774277,48
Albania,ALB,1987,36.45269775,37.12774277,49
Albania,ALB,1988,29.78357124,36.45269775,52
Albania,ALB,1989,31.72734642,29.78357124,51
Albania,ALB,1990,20.25149727,31.72734642,57
Albania,ALB,1991,12.82594776,20.25149727,62
Albania,ALB,1992,7.445892811,12.82594776,69
Albania,ALB,1993,7.42554903,7.445892811,68
Albania,ALB,1994,7.42554903,7.42554903,68
Albania,ALB,1995,6.750499249,7.42554903,67
Albania,ALB,1996,6.4305439,6.750499249,69
Albania,ALB,1997,6.187340736,6.4305439,69
Albania,ALB,1998,4.252814293,6.187340736,76
Albania,ALB,1999,3.763634205,4.252814293,75
Albania,ALB,2000,3.828542709,3.763634205,75
Albania,ALB,2001,4.017897129,3.828542709,78
Albania,ALB,2002,4.293992519,4.017897129,77
Albania,ALB,2003,4.534310341,4.293992519,77
Albania,ALB,2004,4.530487537,4.534310341,77
Albania,ALB,2005,4.725349426,4.530487537,77
Albania,ALB,2006,5.226551056,4.725349426,77
Albania,ALB,2007,4.333265305,5.226551056,77
Albania,ALB,2008,4.061396122,4.333265305,77
Albania,ALB,2009,3.597183704,4.061396122,79
Albania,ALB,2010,7.320011616,3.597183704,75
Albania,ALB,2011,10.47327614,7.320011616,72
Albania,ALB,2012,11.39613724,10.47327614,71
Albania,ALB,2013,11.48121071,11.39613724,71
Albania,ALB,2014,13.84292221,11.48121071,67
Albania,ALB,2015,13.60989571,13.84292221,68
Albania,ALB,2016,15.39828587,13.60989571,64
Algeria,DZA,1916,0.01163,0,20
Algeria,DZA,1917,0.01163,0.01163,21
Algeria,DZA,1918,0.01163,0.01163,22
Algeria,DZA,1919,0.01163,0.01163,22
Algeria,DZA,1920,0.01163,0.01163,22
Algeria,DZA,1922,0.01163,0,23
Algeria,DZA,1923,0.01163,0.01163,23
Algeria,DZA,1924,0.023259999,0.01163,23
Algeria,DZA,1925,0.023259999,0.023259999,23
Algeria,DZA,1926,0.01163,0.023259999,24
Algeria,DZA,1927,0.01163,0.01163,25
Algeria,DZA,1928,0.01163,0.01163,26
Algeria,DZA,1929,0.03489,0.01163,26
Algeria,DZA,1930,0.023259999,0.03489,27
Algeria,DZA,1931,0.01163,0.023259999,28
Algeria,DZA,1932,0.01163,0.01163,28
Algeria,DZA,1933,0.01163,0.01163,30
Algeria,DZA,1944,0.01163,0,36
Algeria,DZA,1950,0.03489,0,44
Algeria,DZA,1951,0.081409998,0.03489,44
Algeria,DZA,1952,0.534979999,0.081409998,41
Algeria,DZA,1953,0.988550007,0.534979999,37
Algeria,DZA,1954,0.848990023,0.988550007,38
Algeria,DZA,1955,0.639649987,0.848990023,43
Algeria,DZA,1956,0.395420015,0.639649987,46
Algeria,DZA,1957,0.244230002,0.395420015,49
Algeria,DZA,1958,4.98927021,0.244230002,33
Algeria,DZA,1959,14.32816029,4.98927021,27
Algeria,DZA,1960,100.3901596,14.32816029,13
Algeria,DZA,1961,182.0909119,100.3901596,10
Algeria,DZA,1962,238.4964142,182.0909119,10
Algeria,DZA,1963,274.8983154,238.4964142,9
Algeria,DZA,1964,308.0670776,274.8983154,10
Algeria,DZA,1965,304.0002136,308.0670776,10
Algeria,DZA,1966,391.2619934,304.0002136,10
Algeria,DZA,1967,449.4441528,391.2619934,10
Algeria,DZA,1968,493.3881836,449.4441528,10
Algeria,DZA,1969,516.788269,493.3881836,10
Algeria,DZA,1970,561.8859253,516.788269,11
Algeria,DZA,1971,427.9567871,561.8859253,14
Algeria,DZA,1972,578.3189697,427.9567871,13
Algeria,DZA,1973,601.2550659,578.3189697,14
Algeria,DZA,1974,556.31073,601.2550659,14
Algeria,DZA,1975,544.3293457,556.31073,14
Algeria,DZA,1976,607.4248657,544.3293457,14
Algeria,DZA,1977,648.4450073,607.4248657,14
Algeria,DZA,1978,662.1581421,648.4450073,15
Algeria,DZA,1979,675.545166,662.1581421,16
Algeria,DZA,1980,599.4387817,675.545166,16
Algeria,DZA,1981,534.1273193,599.4387817,15
Algeria,DZA,1982,531.3828735,534.1273193,15
Algeria,DZA,1983,522.8082886,531.3828735,16
Algeria,DZA,1984,567.3807373,522.8082886,15
Algeria,DZA,1985,547.3196411,567.3807373,17
Algeria,DZA,1986,563.8136597,547.3196411,17
Algeria,DZA,1987,583.7999268,563.8136597,16
Algeria,DZA,1988,611.4503784,583.7999268,17
Algeria,DZA,1989,633.6583862,611.4503784,18
Algeria,DZA,1990,678.6743774,633.6583862,17
Algeria,DZA,1991,682.6080322,678.6743774,16
Algeria,DZA,1992,657.1113892,682.6080322,15
Algeria,DZA,1993,655.0389404,657.1113892,16
Algeria,DZA,1994,652.1087036,655.0389404,16
Algeria,DZA,1995,649.0848999,652.1087036,16
Algeria,DZA,1996,686.3132935,649.0848999,16
Algeria,DZA,1997,716.0244751,686.3132935,16
Algeria,DZA,1998,713.916748,716.0244751,17
Algeria,DZA,1999,680.6859741,713.916748,18
Algeria,DZA,2000,776.7327881,680.6859741,18
Algeria,DZA,2001,764.6841431,776.7327881,18
Algeria,DZA,2002,824.4971924,764.6841431,16
Algeria,DZA,2003,918.828125,824.4971924,15
Algeria,DZA,2004,971.6981201,918.828125,15
Algeria,DZA,2005,1005.270081,971.6981201,15
Algeria,DZA,2006,1002.529236,1005.270081,16
Algeria,DZA,2007,1005.785645,1002.529236,16
Algeria,DZA,2008,985.7705078,1005.785645,17
Algeria,DZA,2009,898.2314453,985.7705078,17
Algeria,DZA,2010,858.0032349,898.2314453,18
Algeria,DZA,2011,833.5802612,858.0032349,18
Algeria,DZA,2012,781.6755371,833.5802612,19
Algeria,DZA,2013,753.4379272,781.6755371,18
Algeria,DZA,2014,799.8067017,753.4379272,18
Algeria,DZA,2015,781.8267212,799.8067017,18
Algeria,DZA,2016,795.6896973,781.8267212,18
Algeria,DZA,2017,775.1162109,795.6896973,18
Algeria,DZA,2018,759.8111572,775.1162109,18
Algeria,DZA,2019,748.1578979,759.8111572,17
Algeria,DZA,2020,668.9110718,748.1578979,17
Algeria,DZA,2021,676.5635986,668.9110718,17
Angola,AGO,1956,0.093039997,0,49
Angola,AGO,1957,0.116300002,0.093039997,50
Angola,AGO,1958,0.593129992,0.116300002,49
Angola,AGO,1959,0.593129992,0.593129992,49
Angola,AGO,1960,0.779209971,0.593129992,47
Angola,AGO,1961,1.209519982,0.779209971,47
Angola,AGO,1962,5.477729797,1.209519982,39
Angola,AGO,1963,9.303999901,5.477729797,36
Angola,AGO,1964,10.5251503,9.303999901,36
Angola,AGO,1965,7.617650032,10.5251503,38
Angola,AGO,1966,7.338530064,7.617650032,40
Angola,AGO,1967,6.24530983,7.338530064,44
Angola,AGO,1968,8.722499847,6.24530983,43
Angola,AGO,1969,28.58654022,8.722499847,36
Angola,AGO,1970,58.90594864,28.58654022,30
Angola,AGO,1971,66.53523254,58.90594864,30
Angola,AGO,1972,82.07290649,66.53523254,28
Angola,AGO,1973,95.07524872,82.07290649,28
Angola,AGO,1974,99.33183289,95.07524872,28
Angola,AGO,1975,90.60932922,99.33183289,32
Angola,AGO,1976,87.9693222,90.60932922,34
Angola,AGO,1977,82.13105774,87.9693222,34
Angola,AGO,1978,75.23446655,82.13105774,35
Angola,AGO,1979,83.73600006,75.23446655,34
Angola,AGO,1980,86.38764191,83.73600006,34
Angola,AGO,1981,83.24754333,86.38764191,35
Angola,AGO,1982,74.5483017,83.24754333,35
Angola,AGO,1983,102.2276993,74.5483017,30
Angola,AGO,1984,117.1606216,102.2276993,29
Angola,AGO,1985,133.1867676,117.1606216,31
Angola,AGO,1986,161.9593811,133.1867676,31
Angola,AGO,1987,203.5947876,161.9593811,29
Angola,AGO,1988,259.581604,203.5947876,28
Angola,AGO,1989,263.3264465,259.581604,28
Angola,AGO,1990,271.9093933,263.3264465,28
Angola,AGO,1991,285.0978088,271.9093933,26
Angola,AGO,1992,315.7893982,285.0978088,25
Angola,AGO,1993,288.5403137,315.7893982,26
Angola,AGO,1994,318.9411316,288.5403137,26
Angola,AGO,1995,362.5419922,318.9411316,23
Angola,AGO,1996,411.2833252,362.5419922,21
Angola,AGO,1997,424.4949951,411.2833252,22
Angola,AGO,1998,418.6799927,424.4949951,23
Angola,AGO,1999,426.8210144,418.6799927,23
Angola,AGO,2000,428.5654907,426.8210144,25
Angola,AGO,2001,425.0765076,428.5654907,24
Angola,AGO,2002,518.697998,425.0765076,20
Angola,AGO,2003,498.1446228,518.697998,22
Angola,AGO,2004,634.7999878,498.1446228,20
Angola,AGO,2005,726.1116333,634.7999878,18
Angola,AGO,2006,798.7351685,726.1116333,18
Angola,AGO,2007,944.1738281,798.7351685,17
Angola,AGO,2008,1073.339844,944.1738281,15
Angola,AGO,2009,1000.608154,1073.339844,15
Angola,AGO,2010,1034.238281,1000.608154,15
Angola,AGO,2011,954.0292358,1034.238281,15
Angola,AGO,2012,991.9908447,954.0292358,15
Angola,AGO,2013,990.9448242,991.9908447,14
Angola,AGO,2014,968.5162964,990.9448242,15
Angola,AGO,2015,1025.331665,968.5162964,14
Angola,AGO,2016,997.4822388,1025.331665,15
Angola,AGO,2017,949.0654907,997.4822388,16
Angola,AGO,2018,861.6135864,949.0654907,17
Angola,AGO,2019,803.2828369,861.6135864,16
Angola,AGO,2020,746.8817139,803.2828369,16
Angola,AGO,2021,658.3441162,746.8817139,18
Argentina,ARG,1908,0.023259999,0,13
Argentina,ARG,1909,0.03489,0.023259999,14
Argentina,ARG,1910,0.03489,0.03489,14
Argentina,ARG,1911,0.023259999,0.03489,16
Argentina,ARG,1912,0.081409998,0.023259999,15
Argentina,ARG,1913,0.220970005,0.081409998,16
Argentina,ARG,1914,0.465200007,0.220970005,15
Argentina,ARG,1915,0.860620022,0.465200007,13
Argentina,ARG,1916,1.465379953,0.860620022,12
Argentina,ARG,1917,2.058510065,1.465379953,12
Argentina,ARG,1918,2.27947998,2.058510065,13
Argentina,ARG,1919,2.244590044,2.27947998,13
Argentina,ARG,1920,2.779570103,2.244590044,12
Argentina,ARG,1921,3.51225996,2.779570103,11
Argentina,ARG,1922,5.105569839,3.51225996,10
Argentina,ARG,1923,5.780109882,5.105569839,12
Argentina,ARG,1924,7.873509884,5.780109882,11
Argentina,ARG,1925,10.3158102,7.873509884,10
Argentina,ARG,1926,13.32798004,10.3158102,9
Argentina,ARG,1927,14.61890984,13.32798004,10
Argentina,ARG,1928,15.32833958,14.61890984,10
Argentina,ARG,1929,15.84006023,15.32833958,10
Argentina,ARG,1930,15.17714977,15.84006023,11
Argentina,ARG,1931,19.21276093,15.17714977,9
Argentina,ARG,1932,21.80624962,19.21276093,9
Argentina,ARG,1933,22.69013023,21.80624962,8
Argentina,ARG,1934,23.23674011,22.69013023,10
Argentina,ARG,1935,23.69030952,23.23674011,11
Argentina,ARG,1936,25.72555923,23.69030952,11
Argentina,ARG,1937,27.21419907,25.72555923,10
Argentina,ARG,1938,28.42371941,27.21419907,11
Argentina,ARG,1939,30.97068977,28.42371941,11
Argentina,ARG,1940,34.28524017,30.97068977,10
Argentina,ARG,1941,36.6344986,34.28524017,9
Argentina,ARG,1942,39.44895935,36.6344986,7
Argentina,ARG,1943,41.32138824,39.44895935,9
Argentina,ARG,1944,40.32120895,41.32138824,8
Argentina,ARG,1945,38.07661819,40.32120895,8
Argentina,ARG,1946,34.61088181,38.07661819,10
Argentina,ARG,1947,36.35538101,34.61088181,10
Argentina,ARG,1948,38.64648819,36.35538101,11
Argentina,ARG,1949,37.58816147,38.64648819,13
Argentina,ARG,1950,39.04190826,37.58816147,14
Argentina,ARG,1951,40.71662903,39.04190826,14
Argentina,ARG,1952,41.30976105,40.71662903,13
Argentina,ARG,1953,47.45040131,41.30976105,13
Argentina,ARG,1954,49.1832695,47.45040131,14
Argentina,ARG,1955,50.7649498,49.1832695,15
Argentina,ARG,1956,51.60231018,50.7649498,15
Argentina,ARG,1957,56.49853897,51.60231018,15
Argentina,ARG,1958,59.33626175,56.49853897,16
Argentina,ARG,1959,74.17613983,59.33626175,14
Argentina,ARG,1960,106.2749405,74.17613983,12
Argentina,ARG,1961,136.675766,106.2749405,12
Argentina,ARG,1962,159.5054474,136.675766,12
Argentina,ARG,1963,157.772583,159.5054474,13
Argentina,ARG,1964,162.8665161,157.772583,13
Argentina,ARG,1965,160.084137,162.8665161,13
Argentina,ARG,1966,170.3093262,160.084137,15
Argentina,ARG,1967,185.6412659,170.3093262,15
Argentina,ARG,1968,203.3806305,185.6412659,14
Argentina,ARG,1969,210.581604,203.3806305,16
Argentina,ARG,1970,232.6060181,210.581604,16
Argentina,ARG,1971,250.8691254,232.6060181,16
Argentina,ARG,1972,258.395752,250.8691254,17
Argentina,ARG,1973,251.2216339,258.395752,17
Argentina,ARG,1974,245.9135437,251.2216339,17
Argentina,ARG,1975,235.6302185,245.9135437,19
Argentina,ARG,1976,237.4164276,235.6302185,19
Argentina,ARG,1977,256.580658,237.4164276,19
Argentina,ARG,1978,269.9306946,256.580658,19
Argentina,ARG,1979,282.3543396,269.9306946,19
Argentina,ARG,1980,293.8556213,282.3543396,18
Argentina,ARG,1981,299.3140869,293.8556213,18
Argentina,ARG,1982,297.3943481,299.3140869,18
Argentina,ARG,1983,298.5108337,297.3943481,19
Argentina,ARG,1984,292.3986511,298.5108337,22
Argentina,ARG,1985,280.9647522,292.3986511,25
Argentina,ARG,1986,265.9624634,280.9647522,27
Argentina,ARG,1987,262.519165,265.9624634,27
Argentina,ARG,1988,275.8607788,262.519165,27
Argentina,ARG,1989,281.7944946,275.8607788,27
Argentina,ARG,1990,295.8270874,281.7944946,27
Argentina,ARG,1991,301.0076599,295.8270874,25
Argentina,ARG,1992,337.7404175,301.0076599,22
Argentina,ARG,1993,361.3188477,337.7404175,20
Argentina,ARG,1994,401.362915,361.3188477,20
Argentina,ARG,1995,435.624115,401.362915,20
Argentina,ARG,1996,474.690094,435.624115,20
Argentina,ARG,1997,504.5743713,474.690094,21
Argentina,ARG,1998,512.0464478,504.5743713,20
Argentina,ARG,1999,484.8414917,512.0464478,21
Argentina,ARG,2000,480.8710938,484.8414917,20
Argentina,ARG,2001,510.8962708,480.8710938,20
Argentina,ARG,2002,503.2772522,510.8962708,22
Argentina,ARG,2003,501.1834717,503.2772522,21
Argentina,ARG,2004,477.1304626,501.1834717,22
Argentina,ARG,2005,457.8623657,477.1304626,22
Argentina,ARG,2006,458.6077271,457.8623657,22
Argentina,ARG,2007,444.4342651,458.6077271,23
Argentina,ARG,2008,439.6697693,444.4342651,23
Argentina,ARG,2009,395.9277954,439.6697693,27
Argentina,ARG,2010,387.0292664,395.9277954,27
Argentina,ARG,2011,362.6854858,387.0292664,26
Argentina,ARG,2012,358.677887,362.6854858,27
Argentina,ARG,2013,351.062561,358.677887,27
Argentina,ARG,2014,346.4147339,351.062561,28
Argentina,ARG,2015,349.431366,346.4147339,27
Argentina,ARG,2016,332.9761658,349.431366,28
Argentina,ARG,2017,316.802948,332.9761658,29
Argentina,ARG,2018,320.3175354,316.802948,29
Argentina,ARG,2019,335.3491211,320.3175354,28
Argentina,ARG,2020,321.6540222,335.3491211,27
Argentina,ARG,2021,338.0412598,321.6540222,27
Australia,AUS,1964,2.209700108,0,47
Australia,AUS,1965,4.026375294,2.209700108,43
Australia,AUS,1966,5.176768303,4.026375294,43
Australia,AUS,1967,12.07912636,5.176768303,39
Australia,AUS,1968,22.49412155,12.07912636,37
Australia,AUS,1969,25.88384056,22.49412155,37
Australia,AUS,1970,101.234581,25.88384056,23
Australia,AUS,1971,177.4203491,101.234581,18
Australia,AUS,1972,189.3364716,177.4203491,18
Australia,AUS,1973,237.1872253,189.3364716,18
Australia,AUS,1974,234.6771851,237.1872253,18
Australia,AUS,1975,251.4620209,234.6771851,17
Australia,AUS,1976,257.4990234,251.4620209,17
Australia,AUS,1977,272.4299011,257.4990234,17
Australia,AUS,1978,269.7096252,272.4299011,20
Australia,AUS,1979,270.7033386,269.7096252,20
Australia,AUS,1980,253.9846954,270.7033386,21
Australia,AUS,1981,247.3820801,253.9846954,20
Australia,AUS,1982,243.9309082,247.3820801,20
Australia,AUS,1983,237.447052,243.9309082,21
Australia,AUS,1984,307.9994202,237.447052,20
Australia,AUS,1985,356.841095,307.9994202,20
Australia,AUS,1986,318.8083801,356.841095,23
Australia,AUS,1987,338.8720398,318.8083801,22
Australia,AUS,1988,321.6083069,338.8720398,23
Australia,AUS,1989,303.3327637,321.6083069,24
Australia,AUS,1990,352.0992432,303.3327637,23
Australia,AUS,1991,332.7697144,352.0992432,22
Australia,AUS,1992,327.9468384,332.7697144,23
Australia,AUS,1993,305.8865356,327.9468384,24
Australia,AUS,1994,329.3391113,305.8865356,23
Australia,AUS,1995,310.1140137,329.3391113,26
Australia,AUS,1996,326.4059753,310.1140137,27
Australia,AUS,1997,346.4353943,326.4059753,27
Australia,AUS,1998,328.0255127,346.4353943,28
Australia,AUS,1999,319.4973145,328.0255127,29
Australia,AUS,2000,431.3765564,319.4973145,23
Australia,AUS,2001,399.1474915,431.3765564,25
Australia,AUS,2002,396.6678162,399.1474915,27
Australia,AUS,2003,343.3504944,396.6678162,28
Australia,AUS,2004,299.8592224,343.3504944,29
Australia,AUS,2005,294.5562439,299.8592224,29
Australia,AUS,2006,268.9571533,294.5562439,30
Australia,AUS,2007,286.4461365,268.9571533,30
Australia,AUS,2008,285.7067871,286.4461365,30
Australia,AUS,2009,280.4289856,285.7067871,30
Australia,AUS,2010,286.5331726,280.4289856,30
Australia,AUS,2011,249.0121002,286.5331726,30
Australia,AUS,2012,246.3700256,249.0121002,30
Australia,AUS,2013,204.8086548,246.3700256,30
Australia,AUS,2014,216.3719177,204.8086548,30
Australia,AUS,2015,195.4208679,216.3719177,32
Australia,AUS,2016,178.5460968,195.4208679,32
Australia,AUS,2017,161.6664429,178.5460968,31
Australia,AUS,2018,170.2063293,161.6664429,32
Australia,AUS,2019,221.9469147,170.2063293,30
Australia,AUS,2020,221.6716156,221.9469147,30
Australia,AUS,2021,210.8965454,221.6716156,30
Austria,AUT,1902,0.01163,0,13
Austria,AUT,1903,0.01163,0.01163,13
Austria,AUT,1904,0.01163,0.01163,13
Austria,AUT,1905,0.01163,0.01163,13
Austria,AUT,1906,0.01163,0.01163,13
Austria,AUT,1907,0.01163,0.01163,13
Austria,AUT,1908,0.023259999,0.01163,14
Austria,AUT,1909,0.023259999,0.023259999,15
Austria,AUT,1910,0.023259999,0.023259999,15
Austria,AUT,1911,0.01163,0.023259999,17
Austria,AUT,1912,0.01163,0.01163,18
Austria,AUT,1913,0.01163,0.01163,19
Austria,AUT,1914,0.01163,0.01163,20
Austria,AUT,1915,0.01163,0.01163,20
Austria,AUT,1933,0.01163,0,31
Austria,AUT,1934,0.046519998,0.01163,29
Austria,AUT,1935,0.081409998,0.046519998,29
Austria,AUT,1936,0.093039997,0.081409998,30
Austria,AUT,1937,0.383789986,0.093039997,27
Austria,AUT,1938,0.662909985,0.383789986,28
Austria,AUT,1939,1.674720049,0.662909985,26
Austria,AUT,1940,4.803190231,1.674720049,22
Austria,AUT,1941,7.582759857,4.803190231,19
Austria,AUT,1942,10.12973022,7.582759857,15
Austria,AUT,1943,12.83952045,10.12973022,15
Austria,AUT,1944,14.10719013,12.83952045,15
Austria,AUT,1945,5.175350189,14.10719013,18
Austria,AUT,1946,9.827349663,5.175350189,16
Austria,AUT,1947,10.58329964,9.827349663,19
Austria,AUT,1948,11.04850006,10.58329964,19
Austria,AUT,1949,13.37450027,11.04850006,19
Austria,AUT,1950,19.7593708,13.37450027,18
Austria,AUT,1951,26.55129051,19.7593708,18
Austria,AUT,1952,32.14532089,26.55129051,16
Austria,AUT,1953,37.46023178,32.14532089,15
Austria,AUT,1954,40.1002388,37.46023178,16
Austria,AUT,1955,42.63557816,40.1002388,16
Austria,AUT,1956,39.86764145,42.63557816,18
Austria,AUT,1957,37.05318069,39.86764145,18
Austria,AUT,1958,32.98268127,37.05318069,19
Austria,AUT,1959,28.58654022,32.98268127,21
Austria,AUT,1960,28.47023964,28.58654022,23
Austria,AUT,1961,27.40028,28.47023964,23
Austria,AUT,1962,27.84222031,27.40028,25
Austria,AUT,1963,30.47060013,27.84222031,25
Austria,AUT,1964,30.97068977,30.47060013,28
Austria,AUT,1965,33.20365143,30.97068977,28
Austria,AUT,1966,32.06391144,33.20365143,29
Austria,AUT,1967,31.22654915,32.06391144,32
Austria,AUT,1968,31.68012047,31.22654915,32
Austria,AUT,1969,32.07553864,31.68012047,32
Austria,AUT,1970,32.54074097,32.07553864,37
Austria,AUT,1971,29.26107979,32.54074097,38
Austria,AUT,1972,28.81913948,29.26107979,39
Austria,AUT,1973,29.9937706,28.81913948,39
Austria,AUT,1974,26.02794075,29.9937706,40
Austria,AUT,1975,23.69030952,26.02794075,40
Austria,AUT,1976,22.45752907,23.69030952,42
Austria,AUT,1977,20.78281021,22.45752907,42
Austria,AUT,1978,20.81769943,20.78281021,43
Austria,AUT,1979,20.09663963,20.81769943,44
Austria,AUT,1980,18.69058037,20.09663963,51
Austria,AUT,1981,16.57367897,18.69058037,50
Austria,AUT,1982,17.21832275,16.57367897,51
Austria,AUT,1983,16.57367897,17.21832275,51
Austria,AUT,1984,15.32251072,16.57367897,54
Austria,AUT,1985,14.63974953,15.32251072,61
Austria,AUT,1986,14.63974953,14.63974953,61
Austria,AUT,1987,13.8103323,14.63974953,61
Austria,AUT,1988,15.32251072,13.8103323,60
Austria,AUT,1989,15.28064537,15.32251072,61
Austria,AUT,1990,14.63610935,15.28064537,62
Austria,AUT,1991,17.21425438,14.63610935,59
Austria,AUT,1992,15.27675438,17.21425438,62
Austria,AUT,1993,14.54484653,15.27675438,62
Austria,AUT,1994,13.85467911,14.54484653,63
Austria,AUT,1995,15.08194637,13.85467911,62
Austria,AUT,1996,14.35129166,15.08194637,63
Austria,AUT,1997,12.56560707,14.35129166,64
Austria,AUT,1998,13.6263237,12.56560707,65
Austria,AUT,1999,12.05796528,13.6263237,67
Austria,AUT,2000,12.73730278,12.05796528,66
Austria,AUT,2001,12.94514751,12.73730278,66
Austria,AUT,2002,13.37995911,12.94514751,65
Austria,AUT,2003,12.91585255,13.37995911,67
Austria,AUT,2004,13.05734062,12.91585255,69
Austria,AUT,2005,11.75143147,13.05734062,70
Austria,AUT,2006,12.16713142,11.75143147,72
Austria,AUT,2007,12.46864319,12.16713142,69
Austria,AUT,2008,12.22406578,12.46864319,68
Austria,AUT,2009,12.30391979,12.22406578,66
Austria,AUT,2010,12.65392876,12.30391979,67
Austria,AUT,2011,13.20751095,12.65392876,66
Austria,AUT,2012,12.7996912,13.20751095,68
Austria,AUT,2013,10.87206078,12.7996912,73
Austria,AUT,2014,11.52370739,10.87206078,73
Austria,AUT,2015,11.08927631,11.52370739,73
Austria,AUT,2016,9.799419403,11.08927631,74
Azerbaijan,AZE,1985,153.8648987,0,30
Azerbaijan,AZE,1986,151.7714996,153.8648987,32
Azerbaijan,AZE,1987,161.7733002,151.7714996,31
Azerbaijan,AZE,1988,159.7962036,161.7733002,32
Azerbaijan,AZE,1989,153.0507965,159.7962036,33
Azerbaijan,AZE,1990,145.375,153.0507965,34
Azerbaijan,AZE,1991,136.9281311,145.375,33
Azerbaijan,AZE,1992,130.2059937,136.9281311,33
Azerbaijan,AZE,1993,119.2226181,130.2059937,33
Azerbaijan,AZE,1994,111.2153625,119.2226181,34
Azerbaijan,AZE,1995,106.5505676,111.2153625,35
Azerbaijan,AZE,1996,105.8376541,106.5505676,36
Azerbaijan,AZE,1997,104.9840088,105.8376541,37
Azerbaijan,AZE,1998,133.1518707,104.9840088,37
Azerbaijan,AZE,1999,161.0871277,133.1518707,36
Azerbaijan,AZE,2000,163.622467,161.0871277,35
Azerbaijan,AZE,2001,174.2057648,163.622467,35
Azerbaijan,AZE,2002,178.3344269,174.2057648,35
Azerbaijan,AZE,2003,178.8461456,178.3344269,35
Azerbaijan,AZE,2004,179.7881775,178.8461456,36
Azerbaijan,AZE,2005,258.3511353,179.7881775,31
Azerbaijan,AZE,2006,375.2721863,258.3511353,26
Azerbaijan,AZE,2007,504.2756348,375.2721863,22
Azerbaijan,AZE,2008,527.1751099,504.2756348,22
Azerbaijan,AZE,2009,591.5785522,527.1751099,21
Azerbaijan,AZE,2010,596.8201904,591.5785522,21
Azerbaijan,AZE,2011,536.0848389,596.8201904,22
Azerbaijan,AZE,2012,508.6764221,536.0848389,24
Azerbaijan,AZE,2013,509.9173584,508.6764221,22
Azerbaijan,AZE,2014,494.4250183,509.9173584,21
Azerbaijan,AZE,2015,488.6914368,494.4250183,22
Azerbaijan,AZE,2016,481.8029785,488.6914368,23
Azerbaijan,AZE,2017,454.608551,481.8029785,25
Azerbaijan,AZE,2018,455.8762207,454.608551,25
Azerbaijan,AZE,2019,441.8748779,455.8762207,24
