Entity,Code,Year,Oil - Proved reserves
Africa,,1980,7288741276.550293
Africa,,1981,7676833784.484863
Africa,,1982,7948134208.679199
Africa,,1983,7916486499.0234375
Africa,,1984,7879361331.176758
Africa,,1985,7779899182.128906
Africa,,1986,7906570150.756836
Africa,,1987,8001712043.762207
Africa,,1988,8047157203.674316
Africa,,1989,8059402005.004883
Africa,,1990,8010200621.032715
Africa,,1991,8234738423.156738
Africa,,1992,8331186331.176758
Africa,,1993,8352190798.950195
Africa,,1994,8867138470.458984
Africa,,1995,9814379193.115234
Africa,,1996,10220756951.904297
Africa,,1997,10265297787.475586
Africa,,1998,10526299945.06836
Africa,,1999,11555743646.240234
Africa,,2000,12672164825.439453
Africa,,2001,13177270034.79004
Africa,,2002,13858436474.609375
Africa,,2003,14529919671.63086
Africa,,2004,14717947329.711914
Africa,,2005,15242563674.926758
Africa,,2006,16037847729.492188
Africa,,2007,16373192840.576172
Africa,,2008,16470475869.750977
Africa,,2009,16773583743.286133
Africa,,2010,17042923583.984375
Africa,,2011,16998444146.728516
Africa,,2012,17373146618.652344
Africa,,2013,17393920062.25586
Africa,,2014,17289607446.289062
Africa,,2015,17408455853.271484
Africa,,2016,17443045999.145508
Africa,,2017,17270690521.240234
Africa,,2018,17146348526.000977
Africa,,2019,17053803573.608398
Africa,,2020,17065269448.85254
Africa (BP),,1980,7288741276.550293
Africa (BP),,1981,7676833784.484863
Africa (BP),,1982,7948134208.679199
Africa (BP),,1983,7916486499.0234375
Africa (BP),,1984,7879361851.501465
Africa (BP),,1985,7779899182.128906
Africa (BP),,1986,7906570150.756836
Africa (BP),,1987,8001712564.086914
Africa (BP),,1988,8047157203.674316
Africa (BP),,1989,8059402005.004883
Africa (BP),,1990,8010200621.032715
Africa (BP),,1991,8234738423.156738
Africa (BP),,1992,8331186851.501465
Africa (BP),,1993,8352191319.274902
Africa (BP),,1994,8867138470.458984
Africa (BP),,1995,9814379193.115234
Africa (BP),,1996,10220756951.904297
Africa (BP),,1997,10265298828.125
Africa (BP),,1998,10526299945.06836
Africa (BP),,1999,11555742605.59082
Africa (BP),,2000,12672164825.439453
Africa (BP),,2001,13177270034.79004
Africa (BP),,2002,13858436474.609375
Africa (BP),,2003,14529919671.63086
Africa (BP),,2004,14717947329.711914
Africa (BP),,2005,15242563674.926758
Africa (BP),,2006,16037847729.492188
Africa (BP),,2007,16373192840.576172
Africa (BP),,2008,16470475869.750977
Africa (BP),,2009,16773583743.286133
Africa (BP),,2010,17042923583.984375
Africa (BP),,2011,16998444146.728516
Africa (BP),,2012,17373146618.652344
Africa (BP),,2013,17393921102.905273
Africa (BP),,2014,17289606405.63965
Africa (BP),,2015,17408455853.271484
Africa (BP),,2016,17443045999.145508
Africa (BP),,2017,17270691561.88965
Africa (BP),,2018,17146348526.000977
Africa (BP),,2019,17053803573.608398
Africa (BP),,2020,17065270489.501953
Algeria,DZA,1980,1118479973.9837646
Algeria,DZA,1981,1102111989.5935059
Algeria,DZA,1982,1287615942.7642822
Algeria,DZA,1983,1257608036.4227295
Algeria,DZA,1984,1227600000
Algeria,DZA,1985,1203047958.3740234
Algeria,DZA,1986,1200320026.0162354
Algeria,DZA,1987,1168129617.69104
Algeria,DZA,1988,1254879973.9837646
Algeria,DZA,1989,1259790408.3251953
Algeria,DZA,1990,1254879973.9837646
Algeria,DZA,1991,1254879973.9837646
Algeria,DZA,1992,1254879973.9837646
Algeria,DZA,1993,1254879973.9837646
Algeria,DZA,1994,1361135612.487793
Algeria,DZA,1995,1361135612.487793
Algeria,DZA,1996,1473120026.0162354
Algeria,DZA,1997,1527679973.9837646
Algeria,DZA,1998,1543229617.69104
Algeria,DZA,1999,1543229617.69104
Algeria,DZA,2000,1543229617.69104
Algeria,DZA,2001,1543229617.69104
Algeria,DZA,2002,1543229617.69104
Algeria,DZA,2003,1609520026.0162354
Algeria,DZA,2004,1609520026.0162354
Algeria,DZA,2005,1673628062.4389648
Algeria,DZA,2006,1673628062.4389648
Algeria,DZA,2007,1664079973.9837646
Algeria,DZA,2008,1664079973.9837646
Algeria,DZA,2009,1664079973.9837646
Algeria,DZA,2010,1664079973.9837646
Algeria,DZA,2011,1664079973.9837646
Algeria,DZA,2012,1664079973.9837646
Algeria,DZA,2013,1664079973.9837646
Algeria,DZA,2014,1664079973.9837646
Algeria,DZA,2015,1664079973.9837646
Algeria,DZA,2016,1664079973.9837646
Algeria,DZA,2017,1664079973.9837646
Algeria,DZA,2018,1664079973.9837646
Algeria,DZA,2019,1664079973.9837646
Algeria,DZA,2020,1664079973.9837646
Angola,AGO,1980,187550000
Angola,AGO,1981,151131205.46340942
Angola,AGO,1982,198734802.34146118
Angola,AGO,1983,233926004.5528412
Angola,AGO,1984,292850810.1463318
Angola,AGO,1985,275255184.65042114
Angola,AGO,1986,190959996.74797058
Angola,AGO,1987,272800000
Angola,AGO,1988,272800000
Angola,AGO,1989,282893583.8699341
Angola,AGO,1990,221650000
Angola,AGO,1991,197780006.50405884
Angola,AGO,1992,181957598.8292694
Angola,AGO,1993,259296403.12194824
Angola,AGO,1994,404425988.2926941
Angola,AGO,1995,426250000
Angola,AGO,1996,503997990.8943176
Angola,AGO,1997,531960013.0081177
Angola,AGO,1998,549692028.6178589
Angola,AGO,1999,688820026.0162354
Angola,AGO,2000,814580816.6503906
Angola,AGO,2001,886600000
Angola,AGO,2002,1213959947.9675293
Angola,AGO,2003,1200456351.0894775
Angola,AGO,2004,1232373979.1870117
Angola,AGO,2005,1234420026.0162354
Angola,AGO,2006,1272611989.5935059
Angola,AGO,2007,1295800000
Angola,AGO,2008,1295800000
Angola,AGO,2009,1295800000
Angola,AGO,2010,1235102041.6259766
Angola,AGO,2011,1235102041.6259766
Angola,AGO,2012,1235102041.6259766
Angola,AGO,2013,1229100356.2927246
Angola,AGO,2014,1148897245.7885742
Angola,AGO,2015,1299073622.894287
Angola,AGO,2016,1298937167.7398682
Angola,AGO,2017,1143577576.0650635
Angola,AGO,2018,1113023979.1870117
Angola,AGO,2019,1061601198.9593506
Angola,AGO,2020,1061601198.9593506
Argentina,ARG,1980,335134802.3414612
Argentina,ARG,1981,296213343.52493286
Argentina,ARG,1982,265925437.45040894
Argentina,ARG,1983,334148494.33898926
Argentina,ARG,1984,320403596.87805176
Argentina,ARG,1985,305536001.30081177
Argentina,ARG,1986,304581205.4634094
Argentina,ARG,1987,306354407.02438354
Argentina,ARG,1988,310978370.0942993
Argentina,ARG,1989,295674287.1284485
Argentina,ARG,1990,214146234.7984314
Argentina,ARG,1991,229597553.39622498
Argentina,ARG,1992,275178534.3170166
Argentina,ARG,1993,302369760.41793823
Argentina,ARG,1994,307259121.60873413
Argentina,ARG,1995,325500437.54577637
Argentina,ARG,1996,354699238.9678955
Argentina,ARG,1997,357528667.1638489
Argentina,ARG,1998,375565788.17367554
Argentina,ARG,1999,418910137.08114624
Argentina,ARG,2000,405613076.5914917
Argentina,ARG,2001,392652340.9843445
Argentina,ARG,2002,384717356.68182373
Argentina,ARG,2003,364803066.73049927
Argentina,ARG,2004,338000458.1451416
Argentina,ARG,2005,297387846.46987915
Argentina,ARG,2006,352834070.0149536
Argentina,ARG,2007,356825188.1599426
Argentina,ARG,2008,343770046.1387634
Argentina,ARG,2009,342568096.06552124
Argentina,ARG,2010,344294305.8013916
Argentina,ARG,2011,344410013.0081177
Argentina,ARG,2012,321114165.3060913
Argentina,ARG,2013,317755274.20043945
Argentina,ARG,2014,324592308.3305359
Argentina,ARG,2015,326640338.8977051
Argentina,ARG,2016,294925312.2329712
Argentina,ARG,2017,275086762.04681396
Argentina,ARG,2018,325567429.35180664
Argentina,ARG,2019,338641303.06243896
Argentina,ARG,2020,338641303.06243896
Asia,,1980,53722701806.640625
Asia,,1981,54164203564.453125
Asia,,1982,57338446520.99609
Asia,,1983,58654639086.91406
Asia,,1984,63431694433.59375
Asia,,1985,63613978747.55859
Asia,,1986,78021324487.30469
Asia,,1987,82064305737.30469
Asia,,1988,93846938012.69531
Asia,,1989,94229206005.85938
Asia,,1990,94267793286.13281
Asia,,1991,95740520336.91406
Asia,,1992,95773612988.28125
Asia,,1993,95854167578.125
Asia,,1994,96006302197.26562
Asia,,1995,95950565014.64844
Asia,,1996,97456151611.32812
Asia,,1997,98868537646.48438
Asia,,1998,99285330224.60938
Asia,,1999,99038255078.125
Asia,,2000,100579298681.64062
Asia,,2001,101004682861.32812
Asia,,2002,107689398437.5
Asia,,2003,108852128515.625
Asia,,2004,109814754199.21875
Asia,,2005,110574977734.375
Asia,,2006,110838861450.19531
Asia,,2007,113368205639.64844
Asia,,2008,113736129321.28906
Asia,,2009,113770620605.46875
Asia,,2010,115714062524.41406
Asia,,2011,120081176928.71094
Asia,,2012,120346076318.35938
Asia,,2013,120916660229.49219
Asia,,2014,120958103051.75781
Asia,,2015,120789534497.07031
Asia,,2016,121355248168.94531
Asia,,2017,124966018579.10156
Asia,,2018,124918340185.54688
Asia,,2019,125134861865.23438
Asia,,2020,125099812792.96875
Asia Pacific (BP),,1980,4579380348.205566
Asia Pacific (BP),,1981,4699190835.571289
Asia Pacific (BP),,1982,4692007752.990723
Asia Pacific (BP),,1983,4854382362.365723
Asia Pacific (BP),,1984,5025856410.217285
Asia Pacific (BP),,1985,5061223400.878906
Asia Pacific (BP),,1986,5149181170.654297
Asia Pacific (BP),,1987,5179581141.662598
Asia Pacific (BP),,1988,5207986708.068848
Asia Pacific (BP),,1989,4487754809.5703125
Asia Pacific (BP),,1990,4727068792.724609
Asia Pacific (BP),,1991,5021938365.17334
Asia Pacific (BP),,1992,4948725556.945801
Asia Pacific (BP),,1993,4988191665.649414
Asia Pacific (BP),,1994,4989738591.003418
Asia Pacific (BP),,1995,4966085150.146484
Asia Pacific (BP),,1996,4971223876.953125
Asia Pacific (BP),,1997,5154203865.05127
Asia Pacific (BP),,1998,5385556880.187988
Asia Pacific (BP),,1999,5050582760.620117
Asia Pacific (BP),,2000,5138479132.080078
Asia Pacific (BP),,2001,5295668185.424805
Asia Pacific (BP),,2002,5312579779.052734
Asia Pacific (BP),,2003,5272343589.782715
Asia Pacific (BP),,2004,5663246371.459961
Asia Pacific (BP),,2005,5655669923.400879
Asia Pacific (BP),,2006,5838659797.668457
Asia Pacific (BP),,2007,5903209719.848633
Asia Pacific (BP),,2008,6267890217.590332
Asia Pacific (BP),,2009,6355803239.440918
Asia Pacific (BP),,2010,6517699150.085449
Asia Pacific (BP),,2011,6527100376.89209
Asia Pacific (BP),,2012,6618439216.61377
Asia Pacific (BP),,2013,6697413580.322266
Asia Pacific (BP),,2014,6501325572.20459
Asia Pacific (BP),,2015,6352837388.61084
Asia Pacific (BP),,2016,6262079751.586914
Asia Pacific (BP),,2017,6245246206.665039
Asia Pacific (BP),,2018,6261606256.103516
Asia Pacific (BP),,2019,6185594100.952148
Asia Pacific (BP),,2020,6159649670.410156
Australia,AUS,1980,289551431.17904663
Australia,AUS,1981,357156342.3156738
Australia,AUS,1982,399795456.12335205
Australia,AUS,1983,339740358.9248657
Australia,AUS,1984,349177585.6971741
Australia,AUS,1985,335450704.4792175
Australia,AUS,1986,392074097.6333618
Australia,AUS,1987,396363752.07901
Australia,AUS,1988,434970609.56954956
Australia,AUS,1989,422959596.63391113
Australia,AUS,1990,430680955.12390137
Australia,AUS,1991,440118181.8962097
Australia,AUS,1992,439260264.01519775
Australia,AUS,1993,444407836.3418579
Australia,AUS,1994,520763633.44192505
Australia,AUS,1995,518189847.278595
Australia,AUS,1996,520763633.44192505
Australia,AUS,1997,550791149.520874
Australia,AUS,1998,651169005.0125122
Australia,AUS,1999,646879383.0871582
Australia,AUS,2000,674333145.5230713
Australia,AUS,2001,676048981.2850952
Australia,AUS,2002,623715242.5765991
Australia,AUS,2003,511423349.66659546
Australia,AUS,2004,530495136.35635376
Australia,AUS,2005,507181727.6954651
Australia,AUS,2006,479380485.9161377
Australia,AUS,2007,467710090.5418396
Australia,AUS,2008,578226960.7543945
Australia,AUS,2009,553974951.3626099
Australia,AUS,2010,522559274.0058899
Australia,AUS,2011,528269642.5437927
Australia,AUS,2012,534956367.8741455
Australia,AUS,2013,539802802.2766113
Australia,AUS,2014,326042648.4107971
Australia,AUS,2015,326042648.4107971
Australia,AUS,2016,326042648.4107971
Australia,AUS,2017,326042648.4107971
Australia,AUS,2018,326042648.4107971
Australia,AUS,2019,326042648.4107971
Australia,AUS,2020,326042648.4107971
Azerbaijan,AZE,1991,171045592.97561646
Azerbaijan,AZE,1992,171045592.97561646
Azerbaijan,AZE,1993,171045592.97561646
Azerbaijan,AZE,1994,157814792.58537292
Azerbaijan,AZE,1995,157814792.58537292
Azerbaijan,AZE,1996,157814792.58537292
Azerbaijan,AZE,1997,157814792.58537292
Azerbaijan,AZE,1998,157814792.58537292
Azerbaijan,AZE,1999,160679196.35772705
Azerbaijan,AZE,2000,160679196.35772705
Azerbaijan,AZE,2001,160679196.35772705
Azerbaijan,AZE,2002,954800000
Azerbaijan,AZE,2003,954800000
Azerbaijan,AZE,2004,954800000
Azerbaijan,AZE,2005,954800000
Azerbaijan,AZE,2006,954800000
Azerbaijan,AZE,2007,954800000
Azerbaijan,AZE,2008,954800000
Azerbaijan,AZE,2009,954800000
Azerbaijan,AZE,2010,954800000
Azerbaijan,AZE,2011,954800000
Azerbaijan,AZE,2012,954800000
Azerbaijan,AZE,2013,954800000
Azerbaijan,AZE,2014,954800000
Azerbaijan,AZE,2015,954800000
Azerbaijan,AZE,2016,954800000
Azerbaijan,AZE,2017,954800000
Azerbaijan,AZE,2018,954800000
Azerbaijan,AZE,2019,954800000
Azerbaijan,AZE,2020,954800000
Brazil,BRA,1980,179770690.34576416
Brazil,BRA,1981,201304734.8499298
Brazil,BRA,1982,234395109.79652405
Brazil,BRA,1983,252317271.566391
Brazil,BRA,1984,274983770.27511597
Brazil,BRA,1985,295723392.77267456
Brazil,BRA,1986,321687790.7752991
Brazil,BRA,1987,347923277.95028687
Brazil,BRA,1988,384121097.0878601
Brazil,BRA,1989,376441754.81796265
Brazil,BRA,1990,615578664.970398
Brazil,BRA,1991,657221682.1670532
Brazil,BRA,1992,677327289.0090942
Brazil,BRA,1993,679566506.3858032
Brazil,BRA,1994,733073902.5115967
Brazil,BRA,1995,848823255.5389404
Brazil,BRA,1996,911244529.3426514
Brazil,BRA,1997,969250913.0477905
Brazil,BRA,1998,1003529514.503479
Brazil,BRA,1999,1112111719.8944092
Brazil,BRA,2000,1154556167.2210693
Brazil,BRA,2001,1157381270.2178955
Brazil,BRA,2002,1337304740.9057617
Brazil,BRA,2003,1446056767.2729492
Brazil,BRA,2004,1533550147.2473145
Brazil,BRA,2005,1605736484.9090576
Brazil,BRA,2006,1661624821.8536377
Brazil,BRA,2007,1721890390.3961182
Brazil,BRA,2008,1746113716.8884277
Brazil,BRA,2009,1756241447.0672607
Brazil,BRA,2010,1943199447.631836
Brazil,BRA,2011,2052804936.5997314
Brazil,BRA,2012,2088859796.5240479
Brazil,BRA,2013,2120261002.3498535
Brazil,BRA,2014,2207512951.6601562
Brazil,BRA,2015,1773170211.4105225
Brazil,BRA,2016,1723239332.1990967
Brazil,BRA,2017,1745091278.8391113
Brazil,BRA,2018,1832575813.293457
Brazil,BRA,2019,1734271386.71875
Brazil,BRA,2020,1626571586.9903564
Brunei,BRN,1980,176501604.03251648
Brunei,BRN,1981,204600000
Brunei,BRN,1982,197132104.68292236
Brunei,BRN,1983,208282793.2357788
Brunei,BRN,1984,200544833.13560486
Brunei,BRN,1985,196825194.4065094
Brunei,BRN,1986,201190003.25202942
Brunei,BRN,1987,218240003.25202942
Brunei,BRN,1988,163680006.50405884
Brunei,BRN,1989,157091882.70568848
Brunei,BRN,1990,153313593.62602234
Brunei,BRN,1991,156859996.74797058
Brunei,BRN,1992,154131999.34959412
Brunei,BRN,1993,170500000
Brunei,BRN,1994,162043195.05691528
Brunei,BRN,1995,153313593.62602234
Brunei,BRN,1996,148676004.5528412
Brunei,BRN,1997,144583992.1951294
Brunei,BRN,1998,139127997.39837646
Brunei,BRN,1999,177319993.49594116
Brunei,BRN,2000,167772002.60162354
Brunei,BRN,2001,158223995.4471588
Brunei,BRN,2002,150040003.25202942
Brunei,BRN,2003,143219993.49594116
Brunei,BRN,2004,152808927.4406433
Brunei,BRN,2005,150722002.60162354
Brunei,BRN,2006,163680006.50405884
Brunei,BRN,2007,147039193.10569763
Brunei,BRN,2008,147039193.10569763
Brunei,BRN,2009,150040003.25202942
Brunei,BRN,2010,150040003.25202942
Brunei,BRN,2011,150040003.25202942
Brunei,BRN,2012,150040003.25202942
Brunei,BRN,2013,150040003.25202942
Brunei,BRN,2014,150040003.25202942
Brunei,BRN,2015,150040003.25202942
Brunei,BRN,2016,150040003.25202942
Brunei,BRN,2017,150040003.25202942
Brunei,BRN,2018,150040003.25202942
Brunei,BRN,2019,150040003.25202942
Brunei,BRN,2020,150040003.25202942
CIS (BP),,1980,9138800000
CIS (BP),,1981,8593200000
CIS (BP),,1982,8593200000
CIS (BP),,1983,8593200000
CIS (BP),,1984,8593200000
CIS (BP),,1985,8593200000
CIS (BP),,1986,8320400000
CIS (BP),,1987,8047600000
CIS (BP),,1988,8047600000
CIS (BP),,1989,7979400000
CIS (BP),,1990,7965760208.129883
CIS (BP),,1991,16865568826.293945
CIS (BP),,1992,16865568826.293945
CIS (BP),,1993,16719268087.768555
CIS (BP),,1994,16723906262.207031
CIS (BP),,1995,16523445965.576172
CIS (BP),,1996,16568757922.363281
CIS (BP),,1997,16501261401.367188
CIS (BP),,1998,16512446301.269531
CIS (BP),,1999,16378915371.704102
CIS (BP),,2000,16378915371.704102
CIS (BP),,2001,16267497201.538086
CIS (BP),,2002,16840932492.06543
CIS (BP),,2003,17071373898.31543
CIS (BP),,2004,16757242425.53711
CIS (BP),,2005,16612812774.658203
CIS (BP),,2006,16569561303.710938
CIS (BP),,2007,19760408862.304688
CIS (BP),,2008,19752106561.279297
CIS (BP),,2009,19642684356.689453
CIS (BP),,2010,19674929919.433594
CIS (BP),,2011,19662529541.015625
CIS (BP),,2012,19632814837.646484
CIS (BP),,2013,19568001110.839844
CIS (BP),,2014,19315316864.01367
CIS (BP),,2015,19207738690.185547
CIS (BP),,2016,19740746832.27539
CIS (BP),,2017,19782847344.970703
CIS (BP),,2018,19868675946.04492
CIS (BP),,2019,19948260650.634766
CIS (BP),,2020,19948260650.634766
Canada,CAN,1980,5391554142.76123
Canada,CAN,1981,5479915684.509277
Canada,CAN,1982,5498569845.581055
Canada,CAN,1983,5523007936.096191
Canada,CAN,1984,5528532743.835449
Canada,CAN,1985,5584084690.856934
Canada,CAN,1986,5606312962.341309
Canada,CAN,1987,5619851811.218262
Canada,CAN,1988,5656202215.576172
Canada,CAN,1989,5632734010.314941
Canada,CAN,1990,5496079051.208496
Canada,CAN,1991,5469416572.570801
Canada,CAN,1992,5406076405.334473
Canada,CAN,1993,5387216716.003418
Canada,CAN,1994,6567551460.266113
Canada,CAN,1995,6597198521.42334
Canada,CAN,1996,6675774316.40625
Canada,CAN,1997,6656741879.272461
Canada,CAN,1998,6795869421.386719
Canada,CAN,1999,24764846105.95703
Canada,CAN,2000,24757103674.316406
Canada,CAN,2001,24680345373.535156
Canada,CAN,2002,24606561248.779297
Canada,CAN,2003,24538762939.453125
Canada,CAN,2004,24494173193.359375
Canada,CAN,2005,24558017034.91211
Canada,CAN,2006,24464970489.501953
Canada,CAN,2007,24392961712.646484
Canada,CAN,2008,24054128344.726562
Canada,CAN,2009,23872075054.93164
Canada,CAN,2010,23849270263.671875
Canada,CAN,2011,23757726416.015625
Canada,CAN,2012,23694875354.003906
Canada,CAN,2013,23602319995.117188
Canada,CAN,2014,23482077117.91992
Canada,CAN,2015,23394279608.154297
Canada,CAN,2016,23260062890.625
Canada,CAN,2017,23432386108.398438
Canada,CAN,2018,23287871124.26758
Canada,CAN,2019,23068637512.20703
Canada,CAN,2020,22927150817.871094
Chad,TCD,1980,0
Chad,TCD,1981,0
Chad,TCD,1982,0
Chad,TCD,1983,0
Chad,TCD,1984,0
Chad,TCD,1985,0
Chad,TCD,1986,0
Chad,TCD,1987,0
Chad,TCD,1988,0
Chad,TCD,1989,0
Chad,TCD,1990,0
Chad,TCD,1991,0
Chad,TCD,1992,0
Chad,TCD,1993,0
Chad,TCD,1994,0
Chad,TCD,1995,0
Chad,TCD,1996,0
Chad,TCD,1997,0
Chad,TCD,1998,0
Chad,TCD,1999,0
Chad,TCD,2000,122759996.74797058
Chad,TCD,2001,122759996.74797058
Chad,TCD,2002,122759996.74797058
Chad,TCD,2003,122759996.74797058
Chad,TCD,2004,122759996.74797058
Chad,TCD,2005,204600000
Chad,TCD,2006,204600000
Chad,TCD,2007,204600000
Chad,TCD,2008,204600000
Chad,TCD,2009,204600000
Chad,TCD,2010,204600000
Chad,TCD,2011,204600000
Chad,TCD,2012,204600000
Chad,TCD,2013,204600000
Chad,TCD,2014,204600000
Chad,TCD,2015,204600000
Chad,TCD,2016,204600000
Chad,TCD,2017,204600000
Chad,TCD,2018,204600000
Chad,TCD,2019,204600000
Chad,TCD,2020,204600000
China,CHN,1980,1821297515.1062012
China,CHN,1981,1812819084.1674805
China,CHN,1982,1808509885.0250244
China,CHN,1983,2029748308.1817627
China,CHN,1984,2232130294.036865
China,CHN,1985,2330761744.6899414
China,CHN,1986,2340799848.9379883
China,CHN,1987,2376563066.8640137
China,CHN,1988,2357486662.2924805
China,CHN,1989,2190378138.73291
China,CHN,1990,2185089038.0859375
China,CHN,1991,2116002144.6228027
China,CHN,1992,2072340267.5628662
China,CHN,1993,2241778414.916992
China,CHN,1994,2217583055.8776855
China,CHN,1995,2230830522.918701
China,CHN,1996,2243028234.8632812
China,CHN,1997,2321733330.5358887
China,CHN,1998,2376473050.6896973
China,CHN,1999,2061263204.9560547
China,CHN,2000,2071956918.334961
China,CHN,2001,2102128596.8780518
China,CHN,2002,2115386730.5755615
China,CHN,2003,2110885531.616211
China,CHN,2004,2490510795.5932617
China,CHN,2005,2489252910.6140137
China,CHN,2006,2758049011.993408
China,CHN,2007,2832005104.0649414
China,CHN,2008,2889886544.7998047
China,CHN,2009,2948643431.854248
China,CHN,2010,3173756192.779541
China,CHN,2011,3239069951.6296387
China,CHN,2012,3331956757.3547363
China,CHN,2013,3366694935.60791
China,CHN,2014,3432704628.753662
China,CHN,2015,3495449804.6875
China,CHN,2016,3500544824.21875
China,CHN,2017,3539334510.8032227
China,CHN,2018,3572328300.476074
